StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,negpart_1,negpart_2,multipartydem_1,multipartydem_2,multipartydem_3,Q17,Q17_4_TEXT,Q19,Q21,Q23,Q38,Q40,Q42,Q44,Q46,Q48,Q50,Q52,EDHfavor,EDHmanip_1,EDHmanip_2,EDHmanip_3,VBMfavor,VBMmanip_1,VBMmanip_2,VBMmanip_3,reforms_1,reforms_2,reforms_3,reforms_4,reforms_5,reforms_6,reforms_7,reforms_8,reforms_9,gender,gender_3_TEXT,race,age,rid,FL_50_DO,EDHTreat_DO,VBMTreat_DO
11/14/2019 22:50,11/14/2019 22:52,0,107.15.251.112,100,164,1,11/14/2019 22:52,R_1CEc105TrxHkxgi,,,,,36.02290344,-78.9464035,anonymous,EN,43,34,2,3,4,3,,,,2,3,,2,,3,,4,,,,,,2,2,3,3,4,3,4,4,3,5,4,3,3,2,,1,3,5dce205b-2b28-0007-098d-3f80559f3178,FL_53,,VBMcontrol
11/14/2019 23:07,11/14/2019 23:07,0,174.238.157.245,100,43,1,11/14/2019 23:07,R_26g7381iXcvruY4,,,,,33.46560669,-111.9955978,anonymous,EN,51,60,2,3,2,1,,2,,,4,,3,,2,,3,,,,,,1,2,2,2,3,3,3,1,2,2,2,3,2,2,,1,2,5dce2464-02a3-3389-e926-0f1c384259a8,FL_53,,VBMdem
11/14/2019 23:07,11/14/2019 23:08,0,73.24.114.225,100,75,1,11/14/2019 23:08,R_QncQbYSQIVwMMlH,,,,,28.90390015,-81.99690247,anonymous,EN,17,19,3,2,4,2,,,2,,,4,,3,,3,,4,2,4,4,4,,,,,4,4,2,4,4,5,5,4,4,1,,1,4,5dce245f-e3ed-9b76-166c-a82e4633e6fc,FL_52,EDHcontrol,
11/14/2019 23:07,11/14/2019 23:08,0,172.58.238.254,100,56,1,11/14/2019 23:08,R_2YycNAJTbLXdB92,,,,,40.78860474,-74.16339874,anonymous,EN,92,82,3,3,4,1,,1,,,4,,4,,4,,4,,,,,,5,3,4,3,3,4,4,4,3,3,4,3,3,2,,3,3,5dce2444-f770-e44d-fb29-509a2f45cd19,FL_53,,VBMdem
11/14/2019 23:07,11/14/2019 23:08,0,172.126.228.96,100,83,1,11/14/2019 23:08,R_3IQrYdK2x35QnyI,,,,,33.26449585,-89.28040314,anonymous,EN,26,88,5,5,5,2,,,1,,,4,,4,,4,,5,1,5,5,5,,,,,5,5,5,5,5,5,5,5,5,1,,2,2,5dce246f-82a5-b5b7-2f9e-832832cb3724,FL_52,EDHdem,
11/14/2019 23:07,11/14/2019 23:08,0,23.126.189.157,100,81,1,11/14/2019 23:08,R_32UXZtOrA96ktsx,,,,,34.15629578,-118.0867996,anonymous,EN,0,,3,3,3,3,,,,3,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,1,,2,3,5dce245e-139c-1bad-113b-c53649e35167,FL_53,,VBMcontrol
11/14/2019 23:07,11/14/2019 23:08,0,172.58.173.92,100,75,1,11/14/2019 23:08,R_r6HqaWNjb1Mozip,,,,,28.03010559,-82.60479736,anonymous,EN,73,76,4,4,4,2,,,1,,,4,,4,,4,,5,2,4,4,4,,,,,4,4,4,4,4,4,4,4,4,2,,3,2,5dce2477-7b12-82fb-e0ac-a8ca68c9f753,FL_52,EDHfraud,
11/14/2019 23:07,11/14/2019 23:08,0,107.213.23.178,100,107,1,11/14/2019 23:08,R_2OIHpi7uOYjev1b,,,,,32.66090393,-97.03420258,anonymous,EN,49,24,5,3,2,1,,1,,,3,,4,,4,,5,,,,,,5,2,3,3,2,3,4,5,4,3,4,5,,1,,2,5,5dce245c-c5e2-8fc7-aece-71aec8a77666,FL_53,,VBMbureau
11/14/2019 23:07,11/14/2019 23:08,0,174.196.8.219,100,112,1,11/14/2019 23:08,R_w7PjtubmI26HC49,,,,,35.85850525,-84.12059784,anonymous,EN,66,100,5,5,5,2,,,1,,,4,,4,,4,,5,1,5,5,5,,,,,5,5,5,5,4,4,4,5,4,1,,1,4,5dce2463-7dc9-524e-f10b-2e367bc1ef6a,FL_52,EDHbureau,
11/14/2019 23:07,11/14/2019 23:09,0,172.58.227.120,100,105,1,11/14/2019 23:09,R_w5D3yc8TSGJjNrr,,,,,40.81419373,-73.90809631,anonymous,EN,35,21,4,4,1,3,,,,3,,,,,,,,,,,,,3,4,4,2,4,4,3,2,4,2,2,2,3,1,,4,,5dce2469-e42b-4f3b-88da-2fdf9b3f6efb,FL_53,,VBMfraud
