StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,negpart_1,negpart_2,multipartydem_1,multipartydem_2,multipartydem_3,Q17,Q17_4_TEXT,Q19,Q21,Q23,Q38,Q40,Q42,Q44,Q46,Q48,Q50,Q52,Q55,Q55_DO,Q57,Q56,Q58,Q59,reforms_1,reforms_2,reforms_3,reforms_4,reforms_5,reforms_6,reforms_7,reforms_8,reforms_9,reforms_10,reforms_11,reforms_DO,gender,gender_3_TEXT,race,age,rid,FL_50_DO,Treatment_DO
12/13/2019 5:04,12/13/2019 5:04,0,107.15.251.112,100,44,1,12/13/2019 5:04,R_2SGGzqFzvBMEU03,,,,,36.02290344,-78.9464035,anonymous,EN,26,47,2,3,4,1,,2,,,3,,,,4,,3,,6,5|3|2|1|6|4,2,4,5,3,2,1,2,1,1,1,1,1,1,1,1,7|5|8|9|3|10|11|1|2|6|4,2,,3,2,5df361e4-7a8d-bbe2-35c3-c03bc6d5a053,FL_53,D2R2
12/13/2019 5:09,12/13/2019 5:11,0,98.167.156.50,100,105,1,12/13/2019 5:11,R_2DOjurAZjmHKnjq,,,,,33.3874054,-112.0998001,anonymous,EN,69,0,3,3,3,3,,,,2,2,,2,,2,,1,,1,5|1|6|2|3|4,2,4,5,3,3,3,3,3,3,4,3,3,4,3,3,5|1|7|9|2|4|8|10|6|3|11,2,,3,2,5df3634e-6529-b316-1092-41cd9b81c16e,FL_52,D2R3
12/13/2019 5:10,12/13/2019 5:11,0,100.37.4.153,100,92,1,12/13/2019 5:11,R_1mxvkXPv8hRuR2X,,,,,40.70350647,-73.92350006,anonymous,EN,100,0,1,3,1,1,,1,,,3,,3,,4,,5,,5,2|4|1|5|3|6,1,3,2,4,5,5,5,5,5,5,5,5,5,5,5,8|4|5|3|11|7|6|10|2|9|1,1,,1,4,5df36346-8c6a-e2d4-7877-444bae247d18,FL_52,D2R2
12/13/2019 5:11,12/13/2019 5:12,0,24.231.152.134,100,88,1,12/13/2019 5:12,R_1K73VzbpEpLv9Xi,,,,,43.03010559,-86.18650055,anonymous,EN,57,45,3,4,1,3,,,,2,3,,3,,4,,4,,1,6|5|4|1|3|2,6,3,5,2,2,2,3,3,3,4,5,3,4,5,3,4|10|2|3|1|5|11|6|7|9|8,2,,1,3,5df3638f-ab41-ff1e-6737-f80ceffa4054,FL_52,D1R3
12/13/2019 5:11,12/13/2019 5:13,0,99.203.97.25,100,100,1,12/13/2019 5:13,R_3EQmMIvl2NxttXq,,,,,36.167099,-86.78610229,anonymous,EN,87,56,4,3,3,1,,1,,,3,,3,,3,,4,,2,1|2|5|6|4|3,4,1,3,5,3,4,2,5,3,4,4,3,4,4,3,3|9|10|8|1|4|11|2|6|7|5,1,,2,3,5df363b3-7cc1-c4bb-01dc-14f2f9689a33,FL_52,D2R3
12/13/2019 5:09,12/13/2019 5:13,0,107.242.117.51,100,198,1,12/13/2019 5:13,R_1Kkwpa2yVrywYeN,,,,,37.75100708,-97.8219986,anonymous,EN,2,67,2,3,3,2,,,2,,,2,,2,,3,,1,1,5|6|3|4|1|2,4,2,6,5,4,5,2,5,1,4,1,3,2,5,1,3|6|10|2|1|7|4|8|11|5|9,1,,1,3,5df3633b-c80b-e074-7720-cb139674cec5,FL_53,D1R3
12/13/2019 5:09,12/13/2019 5:13,0,107.242.117.23,100,216,1,12/13/2019 5:13,R_1nNhk5McdEW7V6X,,,,,37.75100708,-97.8219986,anonymous,EN,51,48,4,5,3,3,,,,3,,,,,,,,,2,4|3|1|2|5|6,6,1,4,5,4,3,4,4,3,4,3,3,5,5,4,8|1|7|6|9|10|11|4|3|5|2,1,,1,5,5df36345-5853-5ca1-2710-bc469b08cc81,FL_52,Control
12/13/2019 5:10,12/13/2019 5:13,0,47.199.65.214,100,153,1,12/13/2019 5:13,R_1GJFQoaPRnhjawx,,,,,27.32539368,-82.47329712,anonymous,EN,63,34,4,4,2,1,,1,,,2,,2,,3,,3,,3,3|1|6|2|5|4,2,1,5,4,4,4,3,4,2,4,3,4,3,4,4,10|9|11|4|1|8|3|5|6|2|7,2,,1,3,5df363aa-8ca0-866c-dce8-1c1c47a914a4,FL_53,D3R3
12/13/2019 5:11,12/13/2019 5:13,0,4.59.175.135,100,104,1,12/13/2019 5:13,R_3rVClR3jv81fTnC,,,,,36.06170654,-79.82389832,anonymous,EN,87,13,4,5,4,1,,1,,,4,,4,,4,,5,,2,6|2|3|1|4|5,3,6,1,4,5,4,5,4,4,5,4,3,5,4,4,2|4|1|5|11|8|9|3|6|10|7,2,,1,2,5df363a2-f4f0-c1da-cf77-ec1135c0dd3d,FL_53,D2R2
12/13/2019 5:12,12/13/2019 5:13,0,98.150.253.61,100,86,1,12/13/2019 5:13,R_b9fZGyN5Ct05KyR,,,,,20.74409485,-156.4474945,anonymous,EN,23,75,1,3,3,2,,,1,,,3,,3,,3,,3,6,1|2|6|5|3|4,3,2,5,1,4,3,4,3,4,3,3,4,3,3,3,11|2|5|3|4|10|1|6|8|9|7,2,,3,3,5df363be-cce3-873f-5f57-ac13c5f44b91,FL_53,D3R3
12/13/2019 5:10,12/13/2019 5:13,0,174.240.129.248,100,158,1,12/13/2019 5:13,R_2bZa4GnChcAIfMy,,,,,30.01210022,-90.165802,anonymous,EN,8,93,1,2,2,3,,,,1,,3,,3,,3,,3,1,1|2|3|5|4|6,4,2,5,3,5,5,4,5,4,5,1,5,2,4,4,8|9|6|2|7|4|5|3|1|11|10,2,,1,4,5df36385-5a7f-fc2b-5ac0-3cee1fbd7188,FL_52,Q70
12/13/2019 5:09,12/13/2019 5:13,0,71.215.165.115,100,252,1,12/13/2019 5:13,R_3O60p4DiHG12Xpb,,,,,26.69090271,-81.94830322,anonymous,EN,100,5,2,1,3,1,,1,,,4,,4,,4,,4,,4,1|3|4|5|2|6,2,1,3,5,3,5,2,5,1,4,4,5,5,4,2,2|11|8|5|10|6|3|9|1|4|7,1,,2,6,5df3632c-de3a-23f0-ee9b-bd2834fab2e6,FL_53,D1R3
12/13/2019 5:12,12/13/2019 5:13,0,107.242.117.54,100,106,1,12/13/2019 5:13,R_xttJ72jdBootxiF,,,,,37.75100708,-97.8219986,anonymous,EN,39,54,2,2,3,2,,,2,,,2,,3,,3,,3,2,2|1|5|6|3|4,1,4,3,5,3,3,2,1,3,5,2,4,3,1,1,7|2|5|1|9|10|8|6|3|11|4,1,,1,4,5df363e8-de26-948d-26eb-0c597e1295f8,FL_52,D2R2
12/13/2019 5:12,12/13/2019 5:14,0,38.68.36.53,100,126,1,12/13/2019 5:14,R_1jqDcnARJoTNI4s,,,,,37.75100708,-97.8219986,anonymous,EN,83,,4,4,4,1,,2,,,3,,3,,3,,3,,3,3|4|1|6|2|5,4,1,2,5,2,2,2,2,2,2,2,2,2,2,2,5|10|2|8|4|9|11|1|6|3|7,2,,1,3,5df363f2-f769-f479-617c-f3935f4ba282,FL_53,D2R3
12/13/2019 5:13,12/13/2019 5:14,0,107.139.222.143,100,47,1,12/13/2019 5:14,R_6oraih78QY1J2hj,,,,,39.95689392,-82.96440125,anonymous,EN,68,56,4,4,4,1,,1,,,3,,4,,4,,5,,1,1|6|2|3|4|5,6,3,2,4,1,1,2,1,1,2,1,2,1,1,2,4|3|6|2|7|9|1|10|11|8|5,2,,2,3,5df36432-eaae-d3a2-81b2-e65d2416496b,FL_52,D2R3
