StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,negpart_1,negpart_2,multipartydem_1,multipartydem_2,multipartydem_3,Q17,Q17_4_TEXT,Q19,Q21,Q23,Q38,Q40,Q42,Q44,Q46,Q48,Q50,Q52,Q55,Q55_DO,Q57,Q56,Q58,Q59,reforms_1,reforms_2,reforms_3,reforms_4,reforms_5,reforms_6,reforms_7,reforms_8,reforms_9,reforms_10,reforms_11,reforms_DO,gender,gender_3_TEXT,race,age,rid,FL_50_DO,Treatment_DO
12/13/2019 5:02,12/13/2019 5:03,IP Address,107.15.251.112,100,51,TRUE,12/13/2019 5:03,R_3HzRmOGbXKMOrPq,,,,,36.02290344,-78.9464035,anonymous,EN,,,Somewhat disagree,Strongly disagree,Somewhat agree,Republican,,,Not very strong,,,Very important,,Not very well,,Somewhat,,Most of the time,,"Encouraging as many people as possible to vote|Expanding voting rights to all U.S. residents, including non-citizens and prisoners|Limiting voting to only English-speaking Americans|Encouraging only informed citizens to vote|Ensuring citizens have equal access to the ballot box|Preventing voter fraud",Encouraging only informed citizens to vote,"Expanding voting rights to all U.S. residents, including non-citizens and prisoners",Ensuring citizens have equal access to the ballot box,Encouraging as many people as possible to vote,Somewhat oppose,Neither favor nor oppose,Somewhat oppose,Somewhat oppose,Neither favor nor oppose,Neither favor nor oppose,Strongly oppose,Somewhat oppose,Neither favor nor oppose,Neither favor nor oppose,Somewhat oppose,Literacy test for voting|Ballots only printed in English|Voting rights for felons|Vote-by-mail|Same-day registration|Voter ID laws|Online voter registration|Voting rights for non-citizen permanent residents|A new Voting Rights Act establishing federal protections against racial discrimination|Making Election Day a holiday|Mandatory voting,Male,,Hispanic/Latino,35 to 44 years,5df36192-5ad0-aecb-5945-d713dab76d3a,FL_52,Control
12/13/2019 5:04,12/13/2019 5:04,IP Address,107.15.251.112,100,44,TRUE,12/13/2019 5:04,R_2SGGzqFzvBMEU03,,,,,36.02290344,-78.9464035,anonymous,EN,26,47,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Democrat,,Not very strong,,,Very important,,,,A great deal,,Some of the time,,Limiting voting to only English-speaking Americans,"Encouraging only informed citizens to vote|Expanding voting rights to all U.S. residents, including non-citizens and prisoners|Encouraging as many people as possible to vote|Ensuring citizens have equal access to the ballot box|Limiting voting to only English-speaking Americans|Preventing voter fraud",Encouraging as many people as possible to vote,Preventing voter fraud,Encouraging only informed citizens to vote,"Expanding voting rights to all U.S. residents, including non-citizens and prisoners",Somewhat oppose,Strongly oppose,Somewhat oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Literacy test for voting|Mandatory voting|A new Voting Rights Act establishing federal protections against racial discrimination|Ballots only printed in English|Making Election Day a holiday|Voting rights for felons|Voting rights for non-citizen permanent residents|Voter ID laws|Same-day registration|Vote-by-mail|Online voter registration,Male,,Hispanic/Latino,18 to 24 years,5df361e4-7a8d-bbe2-35c3-c03bc6d5a053,FL_53,D2R2
12/13/2019 5:09,12/13/2019 5:11,IP Address,98.167.156.50,100,105,TRUE,12/13/2019 5:11,R_2DOjurAZjmHKnjq,,,,,33.3874054,-112.0998001,anonymous,EN,69,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Independent,,,,Closer to Democratic,Not very important,,Not very well,,Very little,,Never,,Ensuring citizens have equal access to the ballot box,"Encouraging only informed citizens to vote|Ensuring citizens have equal access to the ballot box|Limiting voting to only English-speaking Americans|Encouraging as many people as possible to vote|Expanding voting rights to all U.S. residents, including non-citizens and prisoners|Preventing voter fraud",Encouraging as many people as possible to vote,Preventing voter fraud,Encouraging only informed citizens to vote,"Expanding voting rights to all U.S. residents, including non-citizens and prisoners",Neither favor nor oppose,Neither favor nor oppose,Neither favor nor oppose,Neither favor nor oppose,Neither favor nor oppose,Somewhat favor,Neither favor nor oppose,Neither favor nor oppose,Somewhat favor,Neither favor nor oppose,Neither favor nor oppose,Mandatory voting|Voter ID laws|Literacy test for voting|Ballots only printed in English|Same-day registration|Online voter registration|A new Voting Rights Act establishing federal protections against racial discrimination|Voting rights for felons|Vote-by-mail|Making Election Day a holiday|Voting rights for non-citizen permanent residents,Male,,Hispanic/Latino,18 to 24 years,5df3634e-6529-b316-1092-41cd9b81c16e,FL_52,D2R3
12/13/2019 5:10,12/13/2019 5:11,IP Address,100.37.4.153,100,92,TRUE,12/13/2019 5:11,R_1mxvkXPv8hRuR2X,,,,,40.70350647,-73.92350006,anonymous,EN,100,0,Strongly disagree,Neither agree nor disagree,Strongly disagree,Democrat,,Strong,,,Very important,,Very well,,A great deal,,All of the time,,Encouraging only informed citizens to vote,"Encouraging as many people as possible to vote|Preventing voter fraud|Ensuring citizens have equal access to the ballot box|Encouraging only informed citizens to vote|Expanding voting rights to all U.S. residents, including non-citizens and prisoners|Limiting voting to only English-speaking Americans",Ensuring citizens have equal access to the ballot box,"Expanding voting rights to all U.S. residents, including non-citizens and prisoners",Encouraging as many people as possible to vote,Preventing voter fraud,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,A new Voting Rights Act establishing federal protections against racial discrimination|Online voter registration|Mandatory voting|Making Election Day a holiday|Voting rights for non-citizen permanent residents|Literacy test for voting|Vote-by-mail|Voting rights for felons|Same-day registration|Ballots only printed in English|Voter ID laws,Female,,"White, non-Hispanic",35 to 44 years,5df36346-8c6a-e2d4-7877-444bae247d18,FL_52,D2R2
12/13/2019 5:11,12/13/2019 5:12,IP Address,24.231.152.134,100,88,TRUE,12/13/2019 5:12,R_1K73VzbpEpLv9Xi,,,,,43.03010559,-86.18650055,anonymous,EN,57,45,Neither agree nor disagree,Somewhat agree,Strongly disagree,Independent,,,,Closer to Democratic,Very important,,Very well,,A great deal,,Most of the time,,Ensuring citizens have equal access to the ballot box,"Limiting voting to only English-speaking Americans|Encouraging only informed citizens to vote|Preventing voter fraud|Ensuring citizens have equal access to the ballot box|Expanding voting rights to all U.S. residents, including non-citizens and prisoners|Encouraging as many people as possible to vote",Limiting voting to only English-speaking Americans,"Expanding voting rights to all U.S. residents, including non-citizens and prisoners",Encouraging only informed citizens to vote,Encouraging as many people as possible to vote,Somewhat oppose,Somewhat oppose,Neither favor nor oppose,Neither favor nor oppose,Neither favor nor oppose,Somewhat favor,Strongly favor,Neither favor nor oppose,Somewhat favor,Strongly favor,Neither favor nor oppose,Online voter registration|Voting rights for felons|Same-day registration|Making Election Day a holiday|Voter ID laws|Mandatory voting|Voting rights for non-citizen permanent residents|Vote-by-mail|Literacy test for voting|Ballots only printed in English|A new Voting Rights Act establishing federal protections against racial discrimination,Male,,"White, non-Hispanic",25 to 34 years,5df3638f-ab41-ff1e-6737-f80ceffa4054,FL_52,D1R3
12/13/2019 5:11,12/13/2019 5:13,IP Address,99.203.97.25,100,100,TRUE,12/13/2019 5:13,R_3EQmMIvl2NxttXq,,,,,36.167099,-86.78610229,anonymous,EN,87,56,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Democrat,,Strong,,,Very important,,Very well,,Somewhat,,Most of the time,,Encouraging as many people as possible to vote,"Ensuring citizens have equal access to the ballot box|Encouraging as many people as possible to vote|Encouraging only informed citizens to vote|Limiting voting to only English-speaking Americans|Preventing voter fraud|Expanding voting rights to all U.S. residents, including non-citizens and prisoners",Preventing voter fraud,Ensuring citizens have equal access to the ballot box,"Expanding voting rights to all U.S. residents, including non-citizens and prisoners",Encouraging only informed citizens to vote,Neither favor nor oppose,Somewhat favor,Somewhat oppose,Strongly favor,Neither favor nor oppose,Somewhat favor,Somewhat favor,Neither favor nor oppose,Somewhat favor,Somewhat favor,Neither favor nor oppose,Making Election Day a holiday|Ballots only printed in English|Voting rights for felons|A new Voting Rights Act establishing federal protections against racial discrimination|Voter ID laws|Online voter registration|Voting rights for non-citizen permanent residents|Same-day registration|Vote-by-mail|Literacy test for voting|Mandatory voting,Female,,African-American/Black,25 to 34 years,5df363b3-7cc1-c4bb-01dc-14f2f9689a33,FL_52,D2R3
12/13/2019 5:09,12/13/2019 5:13,IP Address,107.242.117.51,100,198,TRUE,12/13/2019 5:13,R_1Kkwpa2yVrywYeN,,,,,37.75100708,-97.8219986,anonymous,EN,2,67,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Republican,,,Not very strong,,,Not very important,,Not very well,,Somewhat,,Never,Ensuring citizens have equal access to the ballot box,"Encouraging only informed citizens to vote|Limiting voting to only English-speaking Americans|Expanding voting rights to all U.S. residents, including non-citizens and prisoners|Preventing voter fraud|Ensuring citizens have equal access to the ballot box|Encouraging as many people as possible to vote",Preventing voter fraud,Encouraging as many people as possible to vote,Limiting voting to only English-speaking Americans,Encouraging only informed citizens to vote,Somewhat favor,Strongly favor,Somewhat oppose,Strongly favor,Strongly oppose,Somewhat favor,Strongly oppose,Neither favor nor oppose,Somewhat oppose,Strongly favor,Strongly oppose,Making Election Day a holiday|Vote-by-mail|Voting rights for felons|Same-day registration|Voter ID laws|Literacy test for voting|Online voter registration|A new Voting Rights Act establishing federal protections against racial discrimination|Voting rights for non-citizen permanent residents|Mandatory voting|Ballots only printed in English,Female,,"White, non-Hispanic",25 to 34 years,5df3633b-c80b-e074-7720-cb139674cec5,FL_53,D1R3
12/13/2019 5:09,12/13/2019 5:13,IP Address,107.242.117.23,100,216,TRUE,12/13/2019 5:13,R_1nNhk5McdEW7V6X,,,,,37.75100708,-97.8219986,anonymous,EN,51,48,Somewhat agree,Strongly agree,Neither agree nor disagree,Independent,,,,Neither,,,,,,,,,Encouraging as many people as possible to vote,"Preventing voter fraud|Expanding voting rights to all U.S. residents, including non-citizens and prisoners|Ensuring citizens have equal access to the ballot box|Encouraging as many people as possible to vote|Encouraging only informed citizens to vote|Limiting voting to only English-speaking Americans",Limiting voting to only English-speaking Americans,Ensuring citizens have equal access to the ballot box,Preventing voter fraud,Encouraging only informed citizens to vote,Somewhat favor,Neither favor nor oppose,Somewhat favor,Somewhat favor,Neither favor nor oppose,Somewhat favor,Neither favor nor oppose,Neither favor nor oppose,Strongly favor,Strongly favor,Somewhat favor,A new Voting Rights Act establishing federal protections against racial discrimination|Voter ID laws|Literacy test for voting|Vote-by-mail|Ballots only printed in English|Voting rights for felons|Voting rights for non-citizen permanent residents|Online voter registration|Making Election Day a holiday|Mandatory voting|Same-day registration,Female,,"White, non-Hispanic",45 to 54 years,5df36345-5853-5ca1-2710-bc469b08cc81,FL_52,Control
12/13/2019 5:10,12/13/2019 5:13,IP Address,47.199.65.214,100,153,TRUE,12/13/2019 5:13,R_1GJFQoaPRnhjawx,,,,,27.32539368,-82.47329712,anonymous,EN,63,34,Somewhat agree,Somewhat agree,Somewhat disagree,Democrat,,Strong,,,Not very important,,Not very well,,Somewhat,,Some of the time,,"Expanding voting rights to all U.S. residents, including non-citizens and prisoners","Expanding voting rights to all U.S. residents, including non-citizens and prisoners|Ensuring citizens have equal access to the ballot box|Limiting voting to only English-speaking Americans|Encouraging as many people as possible to vote|Encouraging only informed citizens to vote|Preventing voter fraud",Encouraging as many people as possible to vote,Ensuring citizens have equal access to the ballot box,Encouraging only informed citizens to vote,Preventing voter fraud,Somewhat favor,Somewhat favor,Neither favor nor oppose,Somewhat favor,Somewhat oppose,Somewhat favor,Neither favor nor oppose,Somewhat favor,Neither favor nor oppose,Somewhat favor,Somewhat favor,Voting rights for felons|Ballots only printed in English|Voting rights for non-citizen permanent residents|Online voter registration|Voter ID laws|A new Voting Rights Act establishing federal protections against racial discrimination|Making Election Day a holiday|Mandatory voting|Vote-by-mail|Same-day registration|Literacy test for voting,Male,,"White, non-Hispanic",25 to 34 years,5df363aa-8ca0-866c-dce8-1c1c47a914a4,FL_53,D3R3
12/13/2019 5:11,12/13/2019 5:13,IP Address,4.59.175.135,100,104,TRUE,12/13/2019 5:13,R_3rVClR3jv81fTnC,,,,,36.06170654,-79.82389832,anonymous,EN,87,13,Somewhat agree,Strongly agree,Somewhat agree,Democrat,,Strong,,,Extremely important,,Extremely well,,A great deal,,All of the time,,Encouraging as many people as possible to vote,"Limiting voting to only English-speaking Americans|Encouraging as many people as possible to vote|Expanding voting rights to all U.S. residents, including non-citizens and prisoners|Ensuring citizens have equal access to the ballot box|Preventing voter fraud|Encouraging only informed citizens to vote","Expanding voting rights to all U.S. residents, including non-citizens and prisoners",Limiting voting to only English-speaking Americans,Ensuring citizens have equal access to the ballot box,Preventing voter fraud,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Somewhat favor,Neither favor nor oppose,Strongly favor,Somewhat favor,Somewhat favor,Same-day registration|Online voter registration|Voter ID laws|Mandatory voting|Voting rights for non-citizen permanent residents|A new Voting Rights Act establishing federal protections against racial discrimination|Ballots only printed in English|Making Election Day a holiday|Vote-by-mail|Voting rights for felons|Literacy test for voting,Male,,"White, non-Hispanic",18 to 24 years,5df363a2-f4f0-c1da-cf77-ec1135c0dd3d,FL_53,D2R2
